Created Date,Closed Date,Location Type,Incident Zip,City,Borough,Latitude,Longitude
12/31/15 11:46,12/31/15 15:29,Residential Building/House,10461,BRONX,BRONX,40.85084522,-73.85180368
12/31/15 11:51,12/31/15 18:59,Residential Building/House,10024,NEW YORK,MANHATTAN,40.7893805,-73.96917761
12/31/15 11:58,12/31/15 15:35,Residential Building/House,10456,BRONX,BRONX,40.8196324,-73.91045338
12/31/15 12:01,12/31/15 15:21,Residential Building/House,11207,BROOKLYN,BROOKLYN,40.66644495,-73.90025605
12/31/15 12:41,12/31/15 14:57,Residential Building/House,11218,BROOKLYN,BROOKLYN,40.63892746,-73.9732502
12/31/15 12:46,12/31/15 15:13,Residential Building/House,10031,NEW YORK,MANHATTAN,40.82416166,-73.95297806
12/31/15 12:51,12/31/15 16:03,Residential Building/House,10029,NEW YORK,MANHATTAN,40.79878003,-73.9441579
12/31/15 12:52,12/31/15 15:15,Residential Building/House,10451,BRONX,BRONX,40.8252058,-73.91626681
12/31/15 12:53,12/31/15 15:04,Club/Bar/Restaurant,10465,BRONX,BRONX,40.82837372,-73.8240774
12/31/15 12:57,1/1/16 1:09,Residential Building/House,10456,BRONX,BRONX,40.83484296,-73.91317937
12/31/15 12:58,12/31/15 15:09,Residential Building/House,10456,BRONX,BRONX,40.83484296,-73.91317937
12/31/15 13:00,12/31/15 15:09,Residential Building/House,10456,BRONX,BRONX,40.83484296,-73.91317937
12/31/15 13:04,12/31/15 15:20,Residential Building/House,10467,BRONX,BRONX,40.87148993,-73.86918924
12/31/15 13:10,12/31/15 16:17,Residential Building/House,11226,BROOKLYN,BROOKLYN,40.64956272,-73.9609212
12/31/15 13:11,12/31/15 17:08,Residential Building/House,10040,NEW YORK,MANHATTAN,40.85405749,-73.93186814
12/31/15 13:13,12/31/15 16:02,Residential Building/House,10029,NEW YORK,MANHATTAN,40.79589753,-73.94892047
12/31/15 13:19,12/31/15 15:43,Residential Building/House,10463,BRONX,BRONX,40.87698471,-73.89916999
12/31/15 13:35,12/31/15 14:12,Store/Commercial,11237,BROOKLYN,BROOKLYN,40.69883914,-73.91812413
12/31/15 13:37,12/31/15 17:08,Residential Building/House,10040,NEW YORK,MANHATTAN,40.85844745,-73.92927889
12/31/15 13:40,12/31/15 19:37,Store/Commercial,10029,NEW YORK,MANHATTAN,40.79901529,-73.94257212
12/31/15 13:43,12/31/15 17:08,Residential Building/House,10034,NEW YORK,MANHATTAN,40.86326314,-73.92302652
12/31/15 13:46,12/31/15 14:15,Store/Commercial,10028,NEW YORK,MANHATTAN,40.77543748,-73.95350711
12/31/15 13:46,12/31/15 14:15,Store/Commercial,10028,NEW YORK,MANHATTAN,40.77543748,-73.95350711
12/31/15 13:49,12/31/15 21:15,Residential Building/House,10461,BRONX,BRONX,40.84413376,-73.82948244
12/31/15 13:50,12/31/15 15:05,Residential Building/House,11225,BROOKLYN,BROOKLYN,40.66834786,-73.96052088
12/31/15 13:52,1/1/16 3:03,Residential Building/House,11224,BROOKLYN,BROOKLYN,40.57362629,-73.99503251
12/31/15 13:54,12/31/15 18:02,Residential Building/House,11236,BROOKLYN,BROOKLYN,40.63492074,-73.88794509
12/31/15 13:57,12/31/15 15:42,Residential Building/House,10463,BRONX,BRONX,40.88496119,-73.89963889
12/31/15 14:05,12/31/15 15:47,Street/Sidewalk,11206,BROOKLYN,BROOKLYN,40.70158704,-73.93130627
12/31/15 14:14,12/31/15 15:47,Street/Sidewalk,11206,BROOKLYN,BROOKLYN,40.70078054,-73.9320861
12/31/15 14:15,12/31/15 17:52,Store/Commercial,10014,NEW YORK,MANHATTAN,40.74036616,-74.00523252
12/31/15 14:17,12/31/15 14:43,Street/Sidewalk,11201,BROOKLYN,BROOKLYN,40.69427602,-73.99242349
12/31/15 14:23,12/31/15 15:21,Street/Sidewalk,10027,NEW YORK,MANHATTAN,40.81200744,-73.95150551
12/31/15 14:25,12/31/15 15:01,Street/Sidewalk,10027,NEW YORK,MANHATTAN,40.81200744,-73.95150551
12/31/15 14:25,12/31/15 17:08,Residential Building/House,10040,NEW YORK,MANHATTAN,40.85681848,-73.93157612
12/31/15 14:29,12/31/15 19:32,Residential Building/House,10459,BRONX,BRONX,40.82176652,-73.895861
12/31/15 14:34,12/31/15 18:39,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.6662355,-73.93322789
12/31/15 14:41,12/31/15 18:42,Residential Building/House,10454,BRONX,BRONX,40.81126215,-73.91562327
12/31/15 14:45,12/31/15 20:29,Residential Building/House,10306,STATEN ISLAND,STATEN ISLAND,40.55387382,-74.13367953
12/31/15 14:45,12/31/15 15:21,Street/Sidewalk,10036,NEW YORK,MANHATTAN,40.7594859,-73.99184936
12/31/15 14:49,12/31/15 16:56,Residential Building/House,11212,BROOKLYN,BROOKLYN,40.66181502,-73.92227858
12/31/15 14:51,12/31/15 15:40,Residential Building/House,10467,BRONX,BRONX,40.85793325,-73.86391267
12/31/15 14:51,12/31/15 16:45,Residential Building/House,11226,BROOKLYN,BROOKLYN,40.6465213,-73.96032118
12/31/15 14:52,12/31/15 17:41,Residential Building/House,10040,NEW YORK,MANHATTAN,40.85844745,-73.92927889
12/31/15 14:54,12/31/15 15:02,Park/Playground,10005,NEW YORK,MANHATTAN,40.70915516,-74.01054311
12/31/15 15:03,12/31/15 15:36,Residential Building/House,11365,FRESH MEADOWS,QUEENS,40.73491319,-73.81062326
12/31/15 15:04,12/31/15 20:49,Residential Building/House,10466,BRONX,BRONX,40.88702961,-73.8442475
12/31/15 15:08,12/31/15 17:49,Residential Building/House,10472,BRONX,BRONX,40.83445905,-73.872247
12/31/15 15:17,12/31/15 17:48,Residential Building/House,11203,BROOKLYN,BROOKLYN,40.65692075,-73.92594607
12/31/15 15:32,12/31/15 15:50,Residential Building/House,10002,NEW YORK,MANHATTAN,40.71716432,-73.9889073
12/31/15 15:43,12/31/15 21:52,Residential Building/House,10462,BRONX,BRONX,40.8558576,-73.86569907
12/31/15 15:44,12/31/15 15:51,Residential Building/House,10002,NEW YORK,MANHATTAN,40.71716432,-73.9889073
